# resnet family
name,time-offline,time-online,comm-offline,comm-online,accuracy
ResNet-20,96.8,0.0372,588,1.15,0
ResNet-32,143.8,0.0621,1761,3.55,0
ResNet-44,248.3,0.0913,2411,4.95,0
ResNet-56,287.1,0.1159,3241,6.36,0
ResNet-110,625.9,0.2267,6317,12.67,0
ResNet-152,662.2,0.25,8445,16.88,0

# ResNet-20,0.0418,0.0372,1.15,1.15,0
# ResNet-32,0.0708,0.0621,3.55,3.55,0
# ResNet-44,0.1067,0.0913,4.95,4.95,0
# ResNet-56,0.1236,0.1159,6.36,6.36,0
# ResNet-110,0.2713,0.2267,12.67,12.67,0
# ResNet-152,0.2853,0.25,16.88,16.88,0
