nlimit,acc-y,acc-ys,train-time-y,train-time-ys
100,  31.09,37.48,282,  343
500,  36.67,40.61,603,  706
1000, 34.71,41.02,1033, 1218
2500, 41.56,45.77,2450, 2926
5000, 46.38,51.76,4360, 5194
10000,53.29,55.82,8599, 10156
15000,55.17,59.93,13688,16591
20000,58.47,62.01,16308,20550
25000,59.96,61.56,22795,26483
30000,61.85,62.73,24942,29388
35000,61.82,63.42,28433,33824
40000,63.68,63.25,34326,40649
45000,63.30,64.93,37637,46166
50000,64.91,65.01,40266,47925

# unit-pred-data: 12328 B = 1.2 KB
# unit-sign-data: 1019904 B = 1.02 MB
